year,ine_code,name,province_id,autonomous_region_id,population,debt,budget_line_amount,budget_line_amount_per_inhabitant,total_budget,total_budget_per_inhabitant
2015,42007,Alcubilla de Avellaneda,42,7,130,0.0,,,225500.0,1734.61
2015,42008,Alcubilla de las Peñas,42,7,58,0.0,,,0.0,0.0
2015,49004,Alcubilla de Nogales,49,7,135,0.0,,,132102.0,978.52
2015,13008,Alcubillas,13,8,518,168000.0,,,0.0,0.0
2015,46018,Alcublas,46,10,727,0.0,,,674912.78,928.34
2015,7003,Alcúdia,7,4,19763,0.0,344500.0,17.43,29695913.63,1502.61
2015,46020,"Alcúdia de Crespins, l'",46,10,5282,2346000.0,321512.15,60.87,3051395.0,577.7
2015,4009,Alcudia de Monteagud,4,1,168,32000.0,6225.0,37.05,340805.0,2028.6
2015,12006,Alcudia de Veo,12,10,209,0.0,25000.0,119.62,234959.0,1124.21
2015,46019,"Alcúdia, l'",46,10,11691,8204000.0,866475.62,74.11,8810750.18,753.63
2015,10010,Alcuéscar,10,11,2759,420000.0,78541.19,28.47,1852860.0,671.58
2015,46021,Aldaia,46,10,31120,9423000.0,2217500.0,71.26,23600000.0,758.37
2015,47006,Aldea de San Miguel,47,7,227,0.0,1009.33,4.45,189570.33,835.12
2015,35020,"Aldea de San Nicolás, La",35,5,7969,3644000.0,677833.49,85.06,8776283.82,1101.31
2015,10012,Aldea del Cano,10,11,667,0.0,,,903454.0,1354.51
2015,28008,Aldea del Fresno,28,13,2535,327000.0,41000.0,16.17,2714145.53,1070.67
2015,37015,Aldea del Obispo,37,7,313,0.0,,,0.0,0.0
2015,10013,"Aldea del Obispo, La",10,11,331,40000.0,7700.0,23.26,255000.0,770.38
2015,13009,Aldea del Rey,13,8,1823,0.0,37000.0,20.3,1545959.42,848.05
2015,45008,Aldea en Cabo,45,8,184,56000.0,,,0.0,0.0
2015,43904,"Aldea, L'",43,9,4245,62000.0,3475.0,0.82,3566529.93,840.16
2015,40012,Aldea Real,40,7,332,0.0,,,269000.0,810.23
2015,10011,Aldeacentenera,10,11,646,287000.0,82000.0,126.93,885803.93,1371.21
2015,37013,Aldeacipreste,37,7,126,0.0,,,0.0,0.0
2015,37014,Aldeadávila de la Ribera,37,7,1264,0.0,,,3480000.0,2753.18
2015,42009,Aldealafuente,42,7,93,0.0,,,80000.0,860.21
2015,40006,Aldealcorvo,40,7,20,0.0,,,0.0,0.0
2015,37016,Aldealengua,37,7,696,102000.0,,,0.0,0.0
2015,40007,Aldealengua de Pedraza,40,7,83,0.0,6650.0,80.12,174159.23,2098.31
2015,40008,Aldealengua de Santa María,40,7,70,0.0,,,0.0,0.0
2015,42010,Aldealices,42,7,25,0.0,2000.0,80.0,61300.0,2452.0
2015,42011,Aldealpozo,42,7,20,0.0,,,19100.0,955.0
